M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle
84,256,4096,False,torch.bfloat16,torch.bfloat16,False,False
84,512,4096,False,torch.bfloat16,torch.bfloat16,False,False
84,1024,4096,False,torch.bfloat16,torch.bfloat16,False,False
84,2048,4096,False,torch.bfloat16,torch.bfloat16,False,False
